:Data_list: ace_epam_5m.txt
:Created: 2022 Sep 27 2326 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   795-1193 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2022 09 27  2125   59849   77100  0  3.39e+04  2.98e+02  0  5.55e+03  1.45e+03  5.48e+02  2.99e+02  1.04e+02  -1.00
2022 09 27  2130   59849   77400  0  3.39e+04  2.96e+02  0  5.49e+03  1.46e+03  5.47e+02  3.06e+02  1.05e+02  -1.00
2022 09 27  2135   59849   77700  0  3.35e+04  2.92e+02  0  5.81e+03  1.43e+03  5.38e+02  2.89e+02  1.05e+02  -1.00
2022 09 27  2140   59849   78000  0  3.33e+04  2.98e+02  0  5.57e+03  1.44e+03  5.35e+02  2.93e+02  1.04e+02  -1.00
2022 09 27  2145   59849   78300  0  3.38e+04  3.10e+02  0  5.56e+03  1.39e+03  5.27e+02  3.01e+02  1.04e+02  -1.00
2022 09 27  2150   59849   78600  0  3.27e+04  3.02e+02  0  5.49e+03  1.35e+03  5.11e+02  2.85e+02  1.01e+02  -1.00
2022 09 27  2155   59849   78900 -1 -1.00e+05 -1.00e+05 -1 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2022 09 27  2200   59849   79200  0  3.29e+04  3.00e+02  0  6.27e+03  1.45e+03  5.38e+02  2.70e+02  1.02e+02  -1.00
2022 09 27  2205   59849   79500  0  3.29e+04  2.93e+02  0  5.42e+03  1.43e+03  5.25e+02  2.83e+02  9.94e+01  -1.00
2022 09 27  2210   59849   79800  0  3.29e+04  2.96e+02  0  5.44e+03  1.42e+03  5.36e+02  2.98e+02  1.02e+02  -1.00
2022 09 27  2215   59849   80100  0  3.32e+04  3.00e+02  0  5.46e+03  1.41e+03  5.29e+02  2.99e+02  1.03e+02  -1.00
2022 09 27  2220   59849   80400  0  3.18e+04  2.81e+02  0  5.62e+03  1.43e+03  5.27e+02  3.01e+02  1.00e+02  -1.00
2022 09 27  2225   59849   80700  0  3.23e+04  2.96e+02  0  5.62e+03  1.41e+03  5.20e+02  2.96e+02  1.02e+02  -1.00
2022 09 27  2230   59849   81000  0  3.12e+04  3.02e+02  0  5.54e+03  1.36e+03  5.00e+02  2.89e+02  9.81e+01  -1.00
2022 09 27  2235   59849   81300  0  3.13e+04  2.79e+02  0  5.38e+03  1.36e+03  4.97e+02  2.55e+02  9.63e+01  -1.00
2022 09 27  2240   59849   81600  0  3.07e+04  2.87e+02  0  5.81e+03  1.48e+03  5.38e+02  2.68e+02  1.05e+02  -1.00
2022 09 27  2245   59849   81900  0  3.11e+04  2.92e+02  0  6.05e+03  1.38e+03  5.00e+02  2.39e+02  9.92e+01  -1.00
2022 09 27  2250   59849   82200  0  3.11e+04  2.91e+02  0  6.30e+03  1.43e+03  5.23e+02  2.45e+02  1.03e+02  -1.00
2022 09 27  2255   59849   82500  0  3.01e+04  2.74e+02  0  5.98e+03  1.40e+03  5.09e+02  2.58e+02  1.03e+02  -1.00
2022 09 27  2300   59849   82800  0  3.10e+04  2.94e+02  0  5.97e+03  1.37e+03  5.08e+02  2.66e+02  9.79e+01  -1.00
2022 09 27  2305   59849   83100  0  3.04e+04  2.86e+02  0  5.37e+03  1.30e+03  4.84e+02  2.87e+02  9.30e+01  -1.00
2022 09 27  2310   59849   83400  0  3.07e+04  2.86e+02  0  5.78e+03  1.37e+03  5.03e+02  2.60e+02  9.74e+01  -1.00
2022 09 27  2315   59849   83700  0  3.03e+04  2.85e+02  0  5.44e+03  1.37e+03  4.91e+02  2.47e+02  9.67e+01  -1.00
2022 09 27  2320   59849   84000  0  3.07e+04  2.88e+02  0  5.69e+03  1.36e+03  4.87e+02  2.44e+02  9.74e+01  -1.00
