:Data_list: ace_mag_1m.txt
:Created: 2022 Sep 27 2326 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2022 09 27  2126   59849   77160    0     2.2    -3.6     2.3     4.8    28.3   301.7
2022 09 27  2127   59849   77220    0     0.3    -5.8     0.5     5.8     4.4   272.5
2022 09 27  2128   59849   77280    0     3.8    -4.1     2.3     6.1    22.0   313.0
2022 09 27  2129   59849   77340    0     2.7    -4.3     3.5     6.2    34.8   302.2
2022 09 27  2130   59849   77400    0     1.9    -3.8     4.3     6.1    45.8   297.0
2022 09 27  2131   59849   77460    0     2.2    -4.6     3.9     6.4    37.2   294.9
2022 09 27  2132   59849   77520    0     1.9    -4.7     3.0     5.9    30.6   292.2
2022 09 27  2133   59849   77580    0     3.3    -2.6     4.7     6.3    48.1   321.2
2022 09 27  2134   59849   77640    0     3.8    -1.2     4.6     6.1    48.7   343.0
2022 09 27  2135   59849   77700    0     3.9    -2.7     4.3     6.3    42.4   325.4
2022 09 27  2136   59849   77760    0     3.8    -1.9     4.5     6.2    47.0   334.0
2022 09 27  2137   59849   77820    0     3.9    -1.6     4.7     6.3    48.2   338.1
2022 09 27  2138   59849   77880    0     3.4    -2.6     4.7     6.4    47.5   322.2
2022 09 27  2139   59849   77940    0     3.0    -2.5     4.8     6.2    51.1   320.8
2022 09 27  2140   59849   78000    0     2.9    -2.1     4.9     6.1    53.5   323.8
2022 09 27  2141   59849   78060    0     3.4    -1.9     4.7     6.1    50.5   330.6
2022 09 27  2142   59849   78120    0     3.5    -2.8     4.0     6.0    41.9   321.0
2022 09 27  2143   59849   78180    0     3.7    -2.4     4.0     5.9    41.7   326.5
2022 09 27  2144   59849   78240    0     3.0    -2.6     4.5     6.0    48.7   319.6
2022 09 27  2145   59849   78300    0     1.3    -3.9     3.6     5.4    40.7   288.2
2022 09 27  2146   59849   78360    0    -0.5    -5.5     1.2     5.6    12.3   264.9
2022 09 27  2147   59849   78420    0    -0.7    -5.3     2.0     5.7    20.9   262.0
2022 09 27  2148   59849   78480    0     1.3    -4.2     3.1     5.4    35.4   286.6
2022 09 27  2149   59849   78540    0     3.0    -2.6     4.1     5.7    45.3   319.3
2022 09 27  2150   59849   78600    0     3.5     1.6     4.6     6.0    50.3    24.3
2022 09 27  2151   59849   78660    0     3.5     0.2     4.9     6.0    53.9     4.0
2022 09 27  2152   59849   78720    0     1.4     1.0     5.9     6.1    74.1    34.9
2022 09 27  2153   59849   78780    0     2.2     1.3     5.5     6.1    64.7    30.7
2022 09 27  2154   59849   78840    0     3.2    -0.2     5.4     6.3    59.4   356.1
2022 09 27  2155   59849   78900    0     3.4    -0.2     5.4     6.4    57.5   356.3
2022 09 27  2156   59849   78960    0     3.3    -0.8     5.5     6.5    58.6   346.4
2022 09 27  2157   59849   79020    0     3.6    -1.0     5.2     6.4    54.4   344.7
2022 09 27  2158   59849   79080    0     4.2    -2.2     4.2     6.3    41.3   332.9
2022 09 27  2159   59849   79140    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 09 27  2200   59849   79200    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 09 27  2201   59849   79260    9  -999.9  -999.9  -999.9  -999.9  -999.9  -999.9
2022 09 27  2202   59849   79320    0     3.6    -3.7     2.5     5.7    26.0   314.7
2022 09 27  2203   59849   79380    0     4.3    -3.1     3.1     6.1    30.1   324.5
2022 09 27  2204   59849   79440    0     3.7    -3.6     3.2     6.0    31.7   315.4
2022 09 27  2205   59849   79500    0     3.4    -3.9     2.8     5.9    28.0   310.7
2022 09 27  2206   59849   79560    0     4.1    -2.7     2.4     5.5    25.8   327.3
2022 09 27  2207   59849   79620    0     1.0    -4.4    -2.6     5.2   -30.1   282.7
2022 09 27  2208   59849   79680    0    -0.0    -5.4    -1.0     5.5   -10.7   269.9
2022 09 27  2209   59849   79740    0     0.4    -5.5    -1.0     5.6   -10.8   274.7
2022 09 27  2210   59849   79800    0     0.8    -5.4    -1.3     5.6   -13.3   278.0
2022 09 27  2211   59849   79860    0    -0.0    -5.1    -1.5     5.3   -16.4   269.8
2022 09 27  2212   59849   79920    0     4.1    -1.9     1.0     4.6    12.8   335.3
2022 09 27  2213   59849   79980    0     4.5    -2.2     0.8     5.1     9.4   333.4
2022 09 27  2214   59849   80040    0     4.6    -2.2     0.4     5.1     4.4   334.4
2022 09 27  2215   59849   80100    0     3.6    -3.5    -0.6     5.0    -6.6   315.7
2022 09 27  2216   59849   80160    0     2.0    -4.6    -1.1     5.2   -12.2   293.3
2022 09 27  2217   59849   80220    0     0.6    -4.8    -0.1     4.9    -1.3   276.9
2022 09 27  2218   59849   80280    0     0.9    -4.3     2.8     5.2    32.6   282.0
2022 09 27  2219   59849   80340    0     1.5    -4.8     1.7     5.3    18.4   287.7
2022 09 27  2220   59849   80400    0     1.5    -4.8     0.9     5.1    10.0   287.1
2022 09 27  2221   59849   80460    0     1.6    -4.6     1.2     5.0    13.4   288.8
2022 09 27  2222   59849   80520    0     2.2    -4.7     1.8     5.5    19.2   295.0
2022 09 27  2223   59849   80580    0     1.9    -4.5     2.6     5.5    28.2   292.7
2022 09 27  2224   59849   80640    0     1.2    -4.5     2.9     5.5    32.1   284.4
2022 09 27  2225   59849   80700    0     2.1    -3.0     3.8     5.3    46.2   304.3
2022 09 27  2226   59849   80760    0     1.6    -4.5     2.7     5.5    29.8   289.6
2022 09 27  2227   59849   80820    0     1.3    -4.9     2.3     5.5    24.2   284.4
2022 09 27  2228   59849   80880    0     1.5    -4.1     2.9     5.3    33.7   290.3
2022 09 27  2229   59849   80940    0    -0.2    -5.2     2.1     5.6    21.8   267.9
2022 09 27  2230   59849   81000    0    -0.4    -5.2     2.1     5.6    21.5   265.7
2022 09 27  2231   59849   81060    0    -0.7    -5.1     2.1     5.5    22.0   262.4
2022 09 27  2232   59849   81120    0     0.1    -4.7     2.9     5.5    31.4   271.1
2022 09 27  2233   59849   81180    0     1.2    -4.6     2.1     5.2    23.5   284.9
2022 09 27  2234   59849   81240    0     1.1    -4.6     1.6     5.0    18.4   282.9
2022 09 27  2235   59849   81300    0     2.9    -3.0     0.3     4.2     3.5   314.4
2022 09 27  2236   59849   81360    0     3.8    -1.9    -1.4     4.5   -17.9   333.1
2022 09 27  2237   59849   81420    0     1.9    -4.5     1.1     5.0    12.8   292.9
2022 09 27  2238   59849   81480    0     1.7    -4.3     2.3     5.2    26.0   291.8
2022 09 27  2239   59849   81540    0     2.1    -4.3     2.2     5.2    24.8   295.9
2022 09 27  2240   59849   81600    0     2.3    -3.9     2.1     5.0    24.6   301.2
2022 09 27  2241   59849   81660    0     4.0     1.8     1.1     4.6    14.3    24.5
2022 09 27  2242   59849   81720    0     3.9     2.9     0.9     4.9    10.5    37.0
2022 09 27  2243   59849   81780    0     3.7     3.2     0.8     5.0     8.9    41.0
2022 09 27  2244   59849   81840    0     4.2     2.6     1.0     5.0    11.1    31.4
2022 09 27  2245   59849   81900    0     4.5     1.5     1.0     4.9    11.9    18.0
2022 09 27  2246   59849   81960    0     4.6     0.8     1.1     4.8    13.5    10.2
2022 09 27  2247   59849   82020    0     4.5     1.2     1.4     4.8    16.9    14.9
2022 09 27  2248   59849   82080    0     1.7    -4.2     1.3     4.7    16.1   292.4
2022 09 27  2249   59849   82140    0     0.9    -4.7     1.2     4.9    14.0   281.0
2022 09 27  2250   59849   82200    0     3.5    -3.1     1.6     5.0    18.4   318.2
2022 09 27  2251   59849   82260    0     3.0    -3.8    -0.2     4.8    -2.4   308.5
2022 09 27  2252   59849   82320    0     4.0    -3.1     0.9     5.1    10.1   322.0
2022 09 27  2253   59849   82380    0     3.6    -3.6     0.9     5.1    10.3   314.8
2022 09 27  2254   59849   82440    0     3.4    -3.4     1.4     5.0    16.3   314.7
2022 09 27  2255   59849   82500    0     3.6    -2.7     2.5     5.1    29.2   323.7
2022 09 27  2256   59849   82560    0     2.8    -3.6     2.5     5.2    28.5   308.4
2022 09 27  2257   59849   82620    0     2.9    -3.3     2.4     5.0    29.2   311.8
2022 09 27  2258   59849   82680    0     3.2    -3.1     2.2     5.0    25.6   315.8
2022 09 27  2259   59849   82740    0     3.5    -3.0     1.8     4.9    21.0   319.8
2022 09 27  2300   59849   82800    0     4.0    -2.4     1.5     4.9    17.8   328.5
2022 09 27  2301   59849   82860    0     3.6    -2.7     1.9     4.9    22.4   323.1
2022 09 27  2302   59849   82920    0     2.8    -2.2     2.7     4.4    36.9   322.1
2022 09 27  2303   59849   82980    0     1.6    -1.4     1.2     2.4    30.4   319.3
2022 09 27  2304   59849   83040    0    -2.8    -2.5    -3.3     4.9   -41.2   221.5
2022 09 27  2305   59849   83100    0    -0.0    -3.7    -2.9     4.7   -38.4   269.7
2022 09 27  2306   59849   83160    0    -0.2    -4.5    -2.3     5.0   -27.4   267.4
2022 09 27  2307   59849   83220    0     0.1    -4.7    -2.1     5.1   -23.9   271.7
2022 09 27  2308   59849   83280    0     0.6    -4.6    -1.7     5.0   -20.2   277.7
2022 09 27  2309   59849   83340    0     2.5    -3.5     1.4     4.6    17.6   305.3
2022 09 27  2310   59849   83400    0     3.4    -2.1     2.9     4.9    35.7   328.0
2022 09 27  2311   59849   83460    0     4.1    -1.5     2.4     5.0    29.2   340.2
2022 09 27  2312   59849   83520    0     4.3    -1.2     2.4     5.0    28.6   344.8
2022 09 27  2313   59849   83580    0     4.3    -0.5     2.8     5.1    33.0   353.6
2022 09 27  2314   59849   83640    0     3.8    -1.7     2.7     5.0    33.7   336.1
2022 09 27  2315   59849   83700    0     3.7    -1.9     2.8     5.0    34.6   332.8
2022 09 27  2316   59849   83760    0     3.9    -1.0     3.1     5.1    37.9   346.2
2022 09 27  2317   59849   83820    0     3.8    -1.0     3.1     5.0    37.8   344.9
2022 09 27  2318   59849   83880    0     4.1    -1.9     2.4     5.1    28.2   334.3
2022 09 27  2319   59849   83940    0     4.3    -1.5     2.2     5.1    26.1   341.1
2022 09 27  2320   59849   84000    0     4.3    -0.9     2.3     5.0    27.2   348.1
2022 09 27  2321   59849   84060    0     4.4    -1.2     1.9     4.9    22.9   344.2
2022 09 27  2322   59849   84120    0     4.3    -1.2     2.1     4.9    25.6   343.8
2022 09 27  2323   59849   84180    0     4.1    -1.3     2.3     4.9    28.1   342.0
2022 09 27  2324   59849   84240    0     4.1    -1.4     2.2     4.9    27.1   341.5
