:Data_list: ace_mag_1m.txt
:Created: 2022 Oct 01 0235 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2022 10 01  0035   59853    2100    0    -7.0     3.4     0.9     7.8     6.9   153.9
2022 10 01  0036   59853    2160    0    -7.1     3.2     1.1     7.8     7.8   155.5
2022 10 01  0037   59853    2220    0    -7.2     3.1     0.9     7.9     6.9   156.8
2022 10 01  0038   59853    2280    0    -7.2     2.9     0.9     7.8     7.0   157.7
2022 10 01  0039   59853    2340    0    -7.3     2.8     0.8     7.9     6.1   159.2
2022 10 01  0040   59853    2400    0    -7.4     2.7     0.6     7.9     4.1   159.9
2022 10 01  0041   59853    2460    0    -7.3     2.8     0.7     7.9     5.1   159.2
2022 10 01  0042   59853    2520    0    -7.2     2.9     0.6     7.8     4.5   158.0
2022 10 01  0043   59853    2580    0    -7.2     2.9     0.6     7.8     4.4   157.9
2022 10 01  0044   59853    2640    0    -7.2     2.9     0.5     7.8     3.8   158.2
2022 10 01  0045   59853    2700    0    -7.2     2.8     0.5     7.8     4.0   158.6
2022 10 01  0046   59853    2760    0    -7.2     2.9     0.5     7.8     3.8   157.9
2022 10 01  0047   59853    2820    0    -7.2     3.0     0.5     7.8     3.6   157.7
2022 10 01  0048   59853    2880    0    -7.3     2.6    -0.1     7.8    -0.7   160.4
2022 10 01  0049   59853    2940    0    -7.3     2.4     0.1     7.7     0.6   162.0
2022 10 01  0050   59853    3000    0    -7.4     2.4     0.2     7.8     1.7   161.8
2022 10 01  0051   59853    3060    0    -7.4     2.2     0.3     7.8     2.0   163.6
2022 10 01  0052   59853    3120    0    -7.4     2.2     0.3     7.8     2.2   163.4
2022 10 01  0053   59853    3180    0    -7.4     2.2     0.1     7.7     1.0   163.5
2022 10 01  0054   59853    3240    0    -7.4     2.2     0.2     7.7     1.4   163.0
2022 10 01  0055   59853    3300    0    -7.5     1.9     0.4     7.8     3.2   165.6
2022 10 01  0056   59853    3360    0    -7.4     2.0     0.3     7.7     2.6   165.1
2022 10 01  0057   59853    3420    0    -7.5     1.9     0.3     7.7     1.9   165.6
2022 10 01  0058   59853    3480    0    -7.6     1.7     0.3     7.8     2.5   167.4
2022 10 01  0059   59853    3540    0    -7.7     1.8     0.3     7.9     2.3   167.2
2022 10 01  0100   59853    3600    0    -7.7     1.7     0.3     7.9     1.9   167.6
2022 10 01  0101   59853    3660    0    -7.7     1.6     0.2     7.9     1.3   168.0
2022 10 01  0102   59853    3720    0    -7.7     1.6     0.1     7.9     0.7   168.5
2022 10 01  0103   59853    3780    0    -7.8     1.1    -0.1     7.8    -1.1   172.3
2022 10 01  0104   59853    3840    0    -7.7     1.2     0.0     7.8     0.2   171.2
2022 10 01  0105   59853    3900    0    -7.7     1.2    -0.2     7.8    -1.7   170.8
2022 10 01  0106   59853    3960    0    -7.7     1.1    -0.2     7.8    -1.3   171.9
2022 10 01  0107   59853    4020    0    -7.7     1.1    -0.4     7.8    -3.1   171.8
2022 10 01  0108   59853    4080    0    -7.7     0.9    -0.5     7.8    -3.9   173.6
2022 10 01  0109   59853    4140    0    -7.8     0.1    -0.7     7.8    -5.1   178.9
2022 10 01  0110   59853    4200    0    -7.7     0.4    -0.7     7.8    -4.9   176.9
2022 10 01  0111   59853    4260    0    -7.7     0.9    -0.4     7.8    -3.1   173.6
2022 10 01  0112   59853    4320    0    -7.7     0.9    -0.3     7.7    -2.3   173.1
2022 10 01  0113   59853    4380    0    -7.6     1.0    -0.4     7.7    -3.0   172.7
2022 10 01  0114   59853    4440    0    -7.8     1.0    -0.4     7.8    -3.2   172.5
2022 10 01  0115   59853    4500    0    -7.8     1.0    -0.5     7.9    -3.6   172.6
2022 10 01  0116   59853    4560    0    -7.8     1.0    -0.6     7.8    -4.4   173.0
2022 10 01  0117   59853    4620    0    -7.7     1.1    -0.5     7.8    -3.7   171.8
2022 10 01  0118   59853    4680    0    -7.7     1.1    -0.5     7.8    -3.8   171.7
2022 10 01  0119   59853    4740    0    -7.7     1.1    -0.5     7.8    -3.9   172.1
