:Data_list: ace_sis_5m.txt
:Created: 2022 Oct 01 0236 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2022 10 01  0035    59853    2100      0    1.44e+00    0    9.95e-01
2022 10 01  0040    59853    2400      0    1.45e+00    0    1.01e+00
2022 10 01  0045    59853    2700      0    1.50e+00    0    1.04e+00
2022 10 01  0050    59853    3000      0    1.47e+00    0    1.03e+00
2022 10 01  0055    59853    3300      0    1.47e+00    0    1.03e+00
2022 10 01  0100    59853    3600      0    1.52e+00    0    1.05e+00
2022 10 01  0105    59853    3900      0    1.48e+00    0    1.03e+00
2022 10 01  0110    59853    4200      0    1.47e+00    0    1.02e+00
2022 10 01  0115    59853    4500      0    1.43e+00    0    1.01e+00
2022 10 01  0120    59853    4800      0    1.44e+00    0    1.00e+00
2022 10 01  0125    59853    5100      0    1.48e+00    0    1.03e+00
2022 10 01  0130    59853    5400      0    1.51e+00    0    1.05e+00
2022 10 01  0135    59853    5700      0    1.46e+00    0    1.01e+00
2022 10 01  0140    59853    6000      0    1.49e+00    0    1.05e+00
2022 10 01  0145    59853    6300      0    1.47e+00    0    1.03e+00
2022 10 01  0150    59853    6600      0    1.44e+00    0    1.01e+00
2022 10 01  0155    59853    6900      0    1.47e+00    0    1.02e+00
2022 10 01  0200    59853    7200      0    1.46e+00    0    1.02e+00
2022 10 01  0205    59853    7500      0    1.46e+00    0    1.03e+00
2022 10 01  0210    59853    7800      0    1.46e+00    0    1.02e+00
2022 10 01  0215    59853    8100      0    1.47e+00    0    1.03e+00
2022 10 01  0220    59853    8400      0    1.49e+00    0    1.03e+00
2022 10 01  0225    59853    8700      0    1.46e+00    0    1.02e+00
2022 10 01  0230    59853    9000      0    1.47e+00    0    1.03e+00
