:Data_list: ace_swepam_1m.txt
:Created: 2022 Sep 27 2325 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2022 09 27  2125   59849   77100    0        0.7      553.4     2.73e+05
2022 09 27  2126   59849   77160    0        0.8      583.8     3.53e+05
2022 09 27  2127   59849   77220    0        1.5      623.5     4.74e+05
2022 09 27  2128   59849   77280    1        1.7      619.1     5.85e+05
2022 09 27  2129   59849   77340    0        0.9      597.8     5.89e+05
2022 09 27  2130   59849   77400    0        0.7      575.5     3.19e+05
2022 09 27  2131   59849   77460    0        0.9      621.0     4.73e+05
2022 09 27  2132   59849   77520    0        0.9      628.3     5.18e+05
2022 09 27  2133   59849   77580    0        0.9      645.1     5.98e+05
2022 09 27  2134   59849   77640    1        0.5      560.3     2.31e+05
2022 09 27  2135   59849   77700    0        0.6      577.3     4.09e+05
2022 09 27  2136   59849   77760    0        0.5      564.9     3.43e+05
2022 09 27  2137   59849   77820    0        0.6      573.8     3.68e+05
2022 09 27  2138   59849   77880    0        0.4      538.5     1.77e+05
2022 09 27  2139   59849   77940    0        0.1      493.8     7.60e+04
2022 09 27  2140   59849   78000    0        0.4      570.5     3.82e+05
2022 09 27  2141   59849   78060    1        0.5      599.5     4.63e+05
2022 09 27  2142   59849   78120    0        0.6      589.6     4.14e+05
2022 09 27  2143   59849   78180    0        0.6      590.5     4.10e+05
2022 09 27  2144   59849   78240    0        0.5      589.5     4.20e+05
2022 09 27  2145   59849   78300    1        0.6      606.6     4.38e+05
2022 09 27  2146   59849   78360    0        0.8      648.6     4.74e+05
2022 09 27  2147   59849   78420    0        0.8      658.8     5.76e+05
2022 09 27  2148   59849   78480    1        0.8      655.2     3.80e+05
2022 09 27  2149   59849   78540    0        0.6      616.7     4.01e+05
2022 09 27  2150   59849   78600    1        0.5      588.9     3.33e+05
2022 09 27  2151   59849   78660    1        0.3      593.6     3.99e+05
2022 09 27  2152   59849   78720    0        0.1      531.8     8.86e+04
2022 09 27  2153   59849   78780    1        0.1      570.4     9.50e+04
2022 09 27  2154   59849   78840    1        0.1      577.0     9.94e+04
2022 09 27  2155   59849   78900    1        0.3      592.7     2.48e+05
2022 09 27  2156   59849   78960    0        0.3      595.2     3.57e+05
2022 09 27  2157   59849   79020    1        0.3      591.2     4.34e+05
2022 09 27  2158   59849   79080    0        0.5      586.1     3.64e+05
2022 09 27  2159   59849   79140    9    -9999.9    -9999.9    -1.00e+05
2022 09 27  2200   59849   79200    9    -9999.9    -9999.9    -1.00e+05
2022 09 27  2201   59849   79260    9    -9999.9    -9999.9    -1.00e+05
2022 09 27  2202   59849   79320    1        0.5      591.5     4.16e+05
2022 09 27  2203   59849   79380    1        0.5      591.7     3.97e+05
2022 09 27  2204   59849   79440    0        0.6      594.3     3.21e+05
2022 09 27  2205   59849   79500    0        0.7      605.3     3.22e+05
2022 09 27  2206   59849   79560    1        0.6      608.5     3.57e+05
2022 09 27  2207   59849   79620    0        0.0      482.2     3.05e+04
2022 09 27  2208   59849   79680    0        0.7      655.6     4.95e+05
2022 09 27  2209   59849   79740    0        0.8      659.9     4.45e+05
2022 09 27  2210   59849   79800    0        0.8      651.5     4.25e+05
2022 09 27  2211   59849   79860    1        0.8      658.1     3.97e+05
2022 09 27  2212   59849   79920    0        0.7      616.8     3.44e+05
2022 09 27  2213   59849   79980    1        0.7      593.1     3.29e+05
2022 09 27  2214   59849   80040    1        0.7      591.3     3.40e+05
2022 09 27  2215   59849   80100    1        0.7      598.3     3.61e+05
2022 09 27  2216   59849   80160    0        0.8      615.3     3.91e+05
2022 09 27  2217   59849   80220    0        0.8      637.4     4.56e+05
2022 09 27  2218   59849   80280    0        0.7      652.4     5.39e+05
2022 09 27  2219   59849   80340    0        0.7      637.8     4.90e+05
2022 09 27  2220   59849   80400    0        0.8      634.9     3.98e+05
2022 09 27  2221   59849   80460    0        0.7      643.7     4.75e+05
2022 09 27  2222   59849   80520    0        0.5      626.5     4.04e+05
2022 09 27  2223   59849   80580    0        0.6      645.2     4.87e+05
2022 09 27  2224   59849   80640    0        0.7      626.8     3.64e+05
2022 09 27  2225   59849   80700    0        0.5      637.2     3.51e+05
2022 09 27  2226   59849   80760    0        0.6      613.0     3.72e+05
2022 09 27  2227   59849   80820    0        0.6      606.4     3.77e+05
2022 09 27  2228   59849   80880    1        0.4      608.7     2.47e+05
2022 09 27  2229   59849   80940    0        0.6      640.7     3.30e+05
2022 09 27  2230   59849   81000    0        0.7      663.8     3.71e+05
2022 09 27  2231   59849   81060    0        0.6      668.7     3.80e+05
